kepid,tce_plnt_num,pred_score,pred_class
000757099,01,0.000,0
000757450,01,0.999,1
000892376,01,0.000,0
000892376,02,0.000,0
000892376,03,0.000,0
000892376,04,0.000,0
000892376,05,0.000,0
000892376,06,0.000,0
000892667,01,0.000,0
000892772,01,0.000,0
000893507,02,0.000,0
000893507,04,0.000,0
000893507,05,0.000,0
000893507,06,0.000,0
000893507,07,0.000,0
000893647,01,0.000,0
000893647,02,0.000,0
000893647,03,0.000,0
000893647,04,0.000,0
001025986,01,0.000,0
001026032,01,0.000,0
001026032,02,0.000,0
001026133,01,0.000,0
001026133,02,0.000,0
001026474,01,0.000,0
001026474,02,0.000,0
001026957,01,1.000,1
001028018,01,0.000,0
001028246,01,0.000,0
001028246,02,0.000,0
001160891,01,0.000,0
001160891,02,0.000,0
001160891,03,0.000,0
001160891,04,0.000,0
001161345,01,0.711,1
001162150,01,0.000,0
001162150,02,0.000,0
001162150,03,0.000,0
001162339,01,0.000,0
001162339,02,0.000,0
001162339,03,0.000,0
001162345,01,0.000,0
001162345,02,0.000,0
001292087,01,0.000,0
001293031,01,0.000,0
001293031,02,0.000,0
001293046,01,0.000,0
001294670,01,0.000,0
001294670,02,0.000,0
001294756,01,0.000,0
001294756,02,0.000,0
001294756,03,0.000,0
001294756,04,0.000,0
001294756,05,0.000,0
001294756,06,0.000,0
001294756,07,0.000,0
001294756,08,0.000,0
001294869,01,0.000,0
001296164,01,0.000,0
001296164,02,0.000,0
001296721,01,0.000,0
001297272,01,0.000,0
001429120,01,0.000,0
001429653,01,0.000,0
001429653,02,0.000,0
001430590,01,0.000,0
001430590,02,0.000,0
001431114,01,0.000,0
001431114,02,0.000,0
001431122,01,0.990,1
001431501,01,0.000,0
001431794,01,0.000,0
001431794,02,0.000,0
001432091,01,0.000,0
001432149,01,0.000,0
001432214,01,0.000,0
001432214,02,0.000,0
001432789,01,0.848,1
001432789,02,0.961,1
001433399,01,0.000,0
001433399,02,0.000,0
001433399,03,0.000,0
001433399,04,0.000,0
001433399,05,0.000,0
001433399,06,0.000,0
001433899,01,0.000,0
001433962,01,0.000,0
001433980,01,0.000,0
001433980,02,0.000,0
001434395,01,0.014,0
001434660,01,0.000,0
001434660,02,0.000,0
001434660,03,0.000,0
001434660,05,0.000,0
001434800,01,0.000,0
001434800,02,0.000,0
001434800,03,0.000,0
001434976,01,0.000,0
001435448,01,0.000,0
001435448,02,0.000,0
001435448,03,0.000,0
001570349,01,0.000,0
001570924,01,0.000,0
001570924,02,0.000,0
001570924,03,0.000,0
001571152,01,0.000,0
001571152,02,0.000,0
001571152,03,0.000,0
001571511,01,0.004,0
001571511,02,0.000,0
001571717,01,0.000,0
001571717,02,0.000,0
001571717,03,0.000,0
001571717,04,0.000,0
001571717,05,0.000,0
001571717,06,0.000,0
001571717,07,0.000,0
001572114,01,0.000,0
001572114,02,0.000,0
001572114,03,0.000,0
001572201,01,0.000,0
001572948,01,0.000,0
001573094,01,0.000,0
001573138,01,0.000,0
001573138,02,0.000,0
001573138,03,0.000,0
001573138,04,0.000,0
001573174,01,0.000,0
001573174,02,0.000,0
001573174,03,0.000,0
001573174,04,0.000,0
001574792,01,0.000,0
001575690,01,0.000,0
001575873,01,1.000,1
001575977,01,0.000,0
001575977,02,0.000,0
001576115,01,0.000,0
001576115,02,0.000,0
001576144,01,0.000,0
001576144,02,0.000,0
001576144,03,0.000,0
001576144,04,0.000,0
001576144,05,0.000,0
001576144,06,0.000,0
001576144,07,0.000,0
001576144,08,0.000,0
001577039,01,0.000,0
001577039,02,0.000,0
001577912,01,0.000,0
001717528,01,0.000,0
001717722,01,0.000,0
001717722,02,1.000,1
001717722,03,0.858,1
001718189,01,1.000,1
001718189,02,1.000,1
001718189,03,0.149,0
001718594,01,0.000,0
001718594,02,0.000,0
001718958,01,0.985,1
001719308,01,0.000,0
001719308,02,0.000,0
001720673,01,0.000,0
001720673,02,0.000,0
001720673,03,0.000,0
001720673,04,0.000,0
001720673,05,0.000,0
001721157,01,0.970,1
